# Legend: N(newborn) R(running) F(failed) K(killed) C(complete)
C initialization__ACQ_4 of DFFD1 T0 W1
C leakage_power__ACQ_1 of DFFD1 T1 W1
C initialization__ACQ_5 of DFFD1 T2 W1
C energy__D__hl__ACQ_1 of DFFD1 T3 W1
C energy__D__lh__ACQ_1 of DFFD1 T4 W1
C initialization__ACQ_3 of DFFD1 T5 W1
C energy__CK__hl__ACQ_1 of DFFD1 T6 W1
C energy__CK__lh__ACQ_1 of DFFD1 T7 W1
C initialization__ACQ_1 of DFFD1 T8 W1
C setup_hbm__D__lh__CK__lh__ACQ_1 of DFFD1 T9 W1
C setup_hbm__D__hl__CK__lh__ACQ_1 of DFFD1 T10 W1
C initialization__ACQ_2 of DFFD1 T11 W1
C delay__CK__lh__QN__hl__ACQ_1 of DFFD1 T12 W1
C delay__CK__lh__QN__lh__ACQ_1 of DFFD1 T13 W1
C initialization__ACQ_6 of DFFD1 T14 W1
C delay__CK__lh__Q__hl__ACQ_1 of DFFD1 T15 W1
C delay__CK__lh__Q__lh__ACQ_1 of DFFD1 T16 W1
C ncmpw_hbm__CK__hl__CK__lh__ACQ_1 of DFFD1 T17 W1
C hold_hbm__D__hl__CK__lh__ACQ_1 of DFFD1 T18 W1
C hold_hbm__D__lh__CK__lh__ACQ_1 of DFFD1 T19 W1
C cmpw_hbm__CK__lh__CK__hl__ACQ_1 of DFFD1 T20 W1
C leakage_power__ACQ_1 of NAND2D1 T21 W1
C energy__IN1__lh__ACQ_1 of NAND2D1 T22 W1
C energy__IN1__hl__ACQ_1 of NAND2D1 T23 W1
C energy__IN2__lh__ACQ_1 of NAND2D1 T24 W1
C energy__IN2__hl__ACQ_1 of NAND2D1 T25 W1
C delay__IN1__lh__OUT__hl__ACQ_1 of NAND2D1 T26 W1
C delay__IN1__hl__OUT__lh__ACQ_1 of NAND2D1 T27 W1
C delay__IN2__lh__OUT__hl__ACQ_1 of NAND2D1 T28 W1
C delay__IN2__hl__OUT__lh__ACQ_1 of NAND2D1 T29 W1
C leakage_power__ACQ_1 of NAND2D2 T30 W1
C energy__IN1__lh__ACQ_1 of NAND2D2 T31 W1
C energy__IN1__hl__ACQ_1 of NAND2D2 T32 W1
C energy__IN2__lh__ACQ_1 of NAND2D2 T33 W1
C energy__IN2__hl__ACQ_1 of NAND2D2 T34 W1
C delay__IN1__lh__OUT__hl__ACQ_1 of NAND2D2 T35 W1
C delay__IN1__hl__OUT__lh__ACQ_1 of NAND2D2 T36 W1
C delay__IN2__lh__OUT__hl__ACQ_1 of NAND2D2 T37 W1
C delay__IN2__hl__OUT__lh__ACQ_1 of NAND2D2 T38 W1
C leakage_power__ACQ_1 of NAND2D4 T39 W1
C energy__IN1__lh__ACQ_1 of NAND2D4 T40 W1
C energy__IN1__hl__ACQ_1 of NAND2D4 T41 W1
C energy__IN2__lh__ACQ_1 of NAND2D4 T42 W1
C energy__IN2__hl__ACQ_1 of NAND2D4 T43 W1
C delay__IN1__lh__OUT__hl__ACQ_1 of NAND2D4 T44 W1
C delay__IN1__hl__OUT__lh__ACQ_1 of NAND2D4 T45 W1
C delay__IN2__lh__OUT__hl__ACQ_1 of NAND2D4 T46 W1
C delay__IN2__hl__OUT__lh__ACQ_1 of NAND2D4 T47 W1
C leakage_power__ACQ_1 of NAND2D8 T48 W1
C energy__IN1__lh__ACQ_1 of NAND2D8 T49 W1
C energy__IN1__hl__ACQ_1 of NAND2D8 T50 W1
C energy__IN2__lh__ACQ_1 of NAND2D8 T51 W1
C energy__IN2__hl__ACQ_1 of NAND2D8 T52 W1
C delay__IN1__lh__OUT__hl__ACQ_1 of NAND2D8 T53 W1
C delay__IN1__hl__OUT__lh__ACQ_1 of NAND2D8 T54 W1
C delay__IN2__lh__OUT__hl__ACQ_1 of NAND2D8 T55 W1
C delay__IN2__hl__OUT__lh__ACQ_1 of NAND2D8 T56 W1
C leakage_power__ACQ_1 of NOR2D1 T57 W1
C energy__IN1__lh__ACQ_1 of NOR2D1 T58 W1
C energy__IN1__hl__ACQ_1 of NOR2D1 T59 W1
C energy__IN2__lh__ACQ_1 of NOR2D1 T60 W1
C energy__IN2__hl__ACQ_1 of NOR2D1 T61 W1
C delay__IN1__lh__OUT__hl__ACQ_1 of NOR2D1 T62 W1
