# Legend: N(newborn) R(running) F(failed) K(killed) C(complete)
C leakage_power__ACQ_1 of AND2D1 T0 W1
C energy__IN1__lh__ACQ_1 of AND2D1 T1 W1
C energy__IN1__hl__ACQ_1 of AND2D1 T2 W1
C energy__IN2__lh__ACQ_1 of AND2D1 T3 W1
C energy__IN2__hl__ACQ_1 of AND2D1 T4 W1
C delay__IN1__lh__OUT__lh__ACQ_1 of AND2D1 T5 W1
C delay__IN1__hl__OUT__hl__ACQ_1 of AND2D1 T6 W1
C delay__IN2__lh__OUT__lh__ACQ_1 of AND2D1 T7 W1
C delay__IN2__hl__OUT__hl__ACQ_1 of AND2D1 T8 W1
C leakage_power__ACQ_1 of AND2D2 T9 W1
C energy__IN1__lh__ACQ_1 of AND2D2 T10 W1
C energy__IN1__hl__ACQ_1 of AND2D2 T11 W1
C energy__IN2__lh__ACQ_1 of AND2D2 T12 W1
C energy__IN2__hl__ACQ_1 of AND2D2 T13 W1
C delay__IN1__lh__OUT__lh__ACQ_1 of AND2D2 T14 W1
C delay__IN1__hl__OUT__hl__ACQ_1 of AND2D2 T15 W1
C delay__IN2__lh__OUT__lh__ACQ_1 of AND2D2 T16 W1
C delay__IN2__hl__OUT__hl__ACQ_1 of AND2D2 T17 W1
C leakage_power__ACQ_1 of AND2D4 T18 W1
C energy__IN1__lh__ACQ_1 of AND2D4 T19 W1
C energy__IN1__hl__ACQ_1 of AND2D4 T20 W1
C energy__IN2__lh__ACQ_1 of AND2D4 T21 W1
C energy__IN2__hl__ACQ_1 of AND2D4 T22 W1
C delay__IN1__lh__OUT__lh__ACQ_1 of AND2D4 T23 W1
C delay__IN1__hl__OUT__hl__ACQ_1 of AND2D4 T24 W1
C delay__IN2__lh__OUT__lh__ACQ_1 of AND2D4 T25 W1
C delay__IN2__hl__OUT__hl__ACQ_1 of AND2D4 T26 W1
C leakage_power__ACQ_1 of AND2D8 T27 W1
C energy__IN1__lh__ACQ_1 of AND2D8 T28 W1
C energy__IN1__hl__ACQ_1 of AND2D8 T29 W1
C energy__IN2__lh__ACQ_1 of AND2D8 T30 W1
C energy__IN2__hl__ACQ_1 of AND2D8 T31 W1
C delay__IN1__lh__OUT__lh__ACQ_1 of AND2D8 T32 W1
C delay__IN1__hl__OUT__hl__ACQ_1 of AND2D8 T33 W1
C delay__IN2__lh__OUT__lh__ACQ_1 of AND2D8 T34 W1
C delay__IN2__hl__OUT__hl__ACQ_1 of AND2D8 T35 W1
C leakage_power__ACQ_1 of NAND2D1 T36 W1
C energy__IN1__lh__ACQ_1 of NAND2D1 T37 W1
C energy__IN1__hl__ACQ_1 of NAND2D1 T38 W1
C energy__IN2__lh__ACQ_1 of NAND2D1 T39 W1
C energy__IN2__hl__ACQ_1 of NAND2D1 T40 W1
C delay__IN1__lh__OUT__hl__ACQ_1 of NAND2D1 T41 W1
C delay__IN1__hl__OUT__lh__ACQ_1 of NAND2D1 T42 W1
C delay__IN2__lh__OUT__hl__ACQ_1 of NAND2D1 T43 W1
C delay__IN2__hl__OUT__lh__ACQ_1 of NAND2D1 T44 W1
C leakage_power__ACQ_1 of NAND2D2 T45 W1
C energy__IN1__lh__ACQ_1 of NAND2D2 T46 W1
C energy__IN1__hl__ACQ_1 of NAND2D2 T47 W1
C energy__IN2__lh__ACQ_1 of NAND2D2 T48 W1
C energy__IN2__hl__ACQ_1 of NAND2D2 T49 W1
C delay__IN1__lh__OUT__hl__ACQ_1 of NAND2D2 T50 W1
C delay__IN1__hl__OUT__lh__ACQ_1 of NAND2D2 T51 W1
C delay__IN2__lh__OUT__hl__ACQ_1 of NAND2D2 T52 W1
C delay__IN2__hl__OUT__lh__ACQ_1 of NAND2D2 T53 W1
C leakage_power__ACQ_1 of NAND2D4 T54 W1
C energy__IN1__lh__ACQ_1 of NAND2D4 T55 W1
C energy__IN1__hl__ACQ_1 of NAND2D4 T56 W1
C energy__IN2__lh__ACQ_1 of NAND2D4 T57 W1
C energy__IN2__hl__ACQ_1 of NAND2D4 T58 W1
C delay__IN1__lh__OUT__hl__ACQ_1 of NAND2D4 T59 W1
C delay__IN1__hl__OUT__lh__ACQ_1 of NAND2D4 T60 W1
C delay__IN2__lh__OUT__hl__ACQ_1 of NAND2D4 T61 W1
C delay__IN2__hl__OUT__lh__ACQ_1 of NAND2D4 T62 W1
C leakage_power__ACQ_1 of NAND2D8 T63 W1
C energy__IN1__lh__ACQ_1 of NAND2D8 T64 W1
C energy__IN1__hl__ACQ_1 of NAND2D8 T65 W1
C energy__IN2__lh__ACQ_1 of NAND2D8 T66 W1
C energy__IN2__hl__ACQ_1 of NAND2D8 T67 W1
C delay__IN1__lh__OUT__hl__ACQ_1 of NAND2D8 T68 W1
C delay__IN1__hl__OUT__lh__ACQ_1 of NAND2D8 T69 W1
C delay__IN2__lh__OUT__hl__ACQ_1 of NAND2D8 T70 W1
C delay__IN2__hl__OUT__lh__ACQ_1 of NAND2D8 T71 W1
C leakage_power__ACQ_1 of NOR2D1 T72 W1
C energy__IN1__lh__ACQ_1 of NOR2D1 T73 W1
C energy__IN1__hl__ACQ_1 of NOR2D1 T74 W1
C energy__IN2__lh__ACQ_1 of NOR2D1 T75 W1
C energy__IN2__hl__ACQ_1 of NOR2D1 T76 W1
C delay__IN1__lh__OUT__hl__ACQ_1 of NOR2D1 T77 W1
C delay__IN1__hl__OUT__lh__ACQ_1 of NOR2D1 T78 W1
C delay__IN2__lh__OUT__hl__ACQ_1 of NOR2D1 T79 W1
C delay__IN2__hl__OUT__lh__ACQ_1 of NOR2D1 T80 W1
C leakage_power__ACQ_1 of NOR2D2 T81 W1
C energy__IN1__lh__ACQ_1 of NOR2D2 T82 W1
C energy__IN1__hl__ACQ_1 of NOR2D2 T83 W1
C energy__IN2__lh__ACQ_1 of NOR2D2 T84 W1
C energy__IN2__hl__ACQ_1 of NOR2D2 T85 W1
C delay__IN1__lh__OUT__hl__ACQ_1 of NOR2D2 T86 W1
C delay__IN1__hl__OUT__lh__ACQ_1 of NOR2D2 T87 W1
C delay__IN2__lh__OUT__hl__ACQ_1 of NOR2D2 T88 W1
C delay__IN2__hl__OUT__lh__ACQ_1 of NOR2D2 T89 W1
C leakage_power__ACQ_1 of NOR2D4 T90 W1
C energy__IN1__lh__ACQ_1 of NOR2D4 T91 W1
C energy__IN1__hl__ACQ_1 of NOR2D4 T92 W1
C energy__IN2__lh__ACQ_1 of NOR2D4 T93 W1
C energy__IN2__hl__ACQ_1 of NOR2D4 T94 W1
C delay__IN1__lh__OUT__hl__ACQ_1 of NOR2D4 T95 W1
C delay__IN1__hl__OUT__lh__ACQ_1 of NOR2D4 T96 W1
C delay__IN2__lh__OUT__hl__ACQ_1 of NOR2D4 T97 W1
C delay__IN2__hl__OUT__lh__ACQ_1 of NOR2D4 T98 W1
C leakage_power__ACQ_1 of NOR2D8 T99 W1
C energy__IN1__lh__ACQ_1 of NOR2D8 T100 W1
C energy__IN1__hl__ACQ_1 of NOR2D8 T101 W1
C energy__IN2__lh__ACQ_1 of NOR2D8 T102 W1
C energy__IN2__hl__ACQ_1 of NOR2D8 T103 W1
C delay__IN1__lh__OUT__hl__ACQ_1 of NOR2D8 T104 W1
C delay__IN1__hl__OUT__lh__ACQ_1 of NOR2D8 T105 W1
C delay__IN2__lh__OUT__hl__ACQ_1 of NOR2D8 T106 W1
C delay__IN2__hl__OUT__lh__ACQ_1 of NOR2D8 T107 W1
C leakage_power__ACQ_1 of OR2D1 T108 W1
C energy__IN1__lh__ACQ_1 of OR2D1 T109 W1
C energy__IN1__hl__ACQ_1 of OR2D1 T110 W1
C energy__IN2__lh__ACQ_1 of OR2D1 T111 W1
C energy__IN2__hl__ACQ_1 of OR2D1 T112 W1
